DOT_NUMBER,LEGAL_NAME,DBA_NAME,CARRIER_OPERATION,HM_FLAG,PC_FLAG,PHY_STREET,PHY_CITY,PHY_STATE,PHY_ZIP,PHY_COUNTRY,TELEPHONE,EMAIL_ADDRESS,NBR_POWER_UNIT,DRIVER_TOTAL,OP_STATUS,OP_STATUS_DESC,MC_MX_FF_NUMBER
1234567,ABC TRUCKING INC,ABC TRUCKING,PROPERTY,N,N,123 MAIN ST,CHICAGO,IL,60601,US,3125551234,dispatch@abctrucking.com,25,30,A,ACTIVE,MC-123456
2345678,SWIFT TRANSPORT LLC,SWIFT TRANSPORT,PROPERTY,N,N,456 OAK AVE,DALLAS,TX,75201,US,2145552345,info@swifttransport.com,150,200,A,ACTIVE,MC-234567
3456789,PREMIER FREIGHT CARRIERS,PREMIER FREIGHT,PROPERTY,Y,N,789 ELM BLVD,ATLANTA,GA,30301,US,4045553456,dispatch@premierfreight.com,75,100,A,ACTIVE,MC-345678
4567890,NATIONWIDE LOGISTICS INC,,PROPERTY,N,N,321 PINE RD,PHOENIX,AZ,85001,US,6025554567,ops@nationwidelogistics.com,50,65,A,ACTIVE,MC-456789
5678901,MOUNTAIN VIEW TRUCKING,MV TRUCKING,PROPERTY,N,N,654 CEDAR LN,DENVER,CO,80201,US,3035555678,mvtrucking@email.com,35,45,A,ACTIVE,MC-567890
6789012,COASTAL CARRIERS LLC,,PROPERTY,N,N,987 BEACH DR,MIAMI,FL,33101,US,3055556789,dispatch@coastalcarriers.com,80,110,A,ACTIVE,MC-678901
7890123,HEARTLAND EXPRESS INC,HEARTLAND EXPRESS,PROPERTY,N,N,147 FARM RD,KANSAS CITY,MO,64101,US,8165557890,info@heartlandexp.com,200,280,A,ACTIVE,MC-789012
8901234,PACIFIC RIM TRANSPORT,,PROPERTY,Y,N,258 HARBOR WAY,LOS ANGELES,CA,90001,US,2135558901,pacific@transport.com,125,175,A,ACTIVE,MC-890123
9012345,GREAT LAKES FREIGHT,GLF TRUCKING,PROPERTY,N,N,369 LAKE ST,DETROIT,MI,48201,US,3135559012,glf@freight.com,60,85,A,ACTIVE,MC-901234
1122334,SOUTHERN STAR LOGISTICS,,PROPERTY,N,N,741 PEACH ST,NASHVILLE,TN,37201,US,6155551122,dispatch@southernstar.com,45,55,A,ACTIVE,MC-112233
2233445,NORTHEAST HAULERS INC,NE HAULERS,PROPERTY,N,N,852 LIBERTY AVE,BOSTON,MA,02101,US,6175552233,nehaulers@email.com,90,120,A,ACTIVE,MC-223344
3344556,WESTERN EXPRESS LLC,,PROPERTY,N,N,963 SUNSET BLVD,SEATTLE,WA,98101,US,2065553344,dispatch@westernexp.com,110,145,A,ACTIVE,MC-334455
4455667,CENTRAL FREIGHT SYSTEMS,CFS,PROPERTY,Y,N,174 CENTER ST,OMAHA,NE,68101,US,4025554455,cfs@freight.com,40,50,A,ACTIVE,MC-445566
5566778,LONE STAR TRUCKING,,PROPERTY,N,N,285 TEXAS AVE,HOUSTON,TX,77001,US,7135555566,lonestar@trucking.com,95,130,A,ACTIVE,MC-556677
6677889,EMPIRE STATE CARRIERS,ESC,PROPERTY,N,N,396 BROADWAY,NEW YORK,NY,10001,US,2125556677,empire@carriers.com,70,95,A,ACTIVE,MC-667788
7788990,GOLDEN GATE TRANSPORT,,PROPERTY,N,N,417 MARKET ST,SAN FRANCISCO,CA,94101,US,4155557788,gg@transport.com,55,75,A,ACTIVE,MC-778899
8899001,BLUE RIDGE TRUCKING,BRT,PROPERTY,N,N,528 MOUNTAIN VIEW,CHARLOTTE,NC,28201,US,7045558899,brt@trucking.com,65,90,A,ACTIVE,MC-889900
9900112,MIDWEST HAULERS LLC,,PROPERTY,N,N,639 CORN FIELD RD,INDIANAPOLIS,IN,46201,US,3175559900,midwest@haulers.com,85,115,A,ACTIVE,MC-990011
1011121,SUNSHINE STATE FREIGHT,SSF,PROPERTY,N,N,750 PALM DR,ORLANDO,FL,32801,US,4075551011,ssf@freight.com,100,140,A,ACTIVE,MC-101112
1213141,ROCKY MOUNTAIN EXPRESS,,PROPERTY,N,N,861 ALPINE WAY,SALT LAKE CITY,UT,84101,US,8015551213,rme@express.com,75,100,A,ACTIVE,MC-121314
9999999,INACTIVE TRANSPORT CO,,PROPERTY,N,N,999 CLOSED RD,NOWHERE,XX,00000,US,0005559999,closed@example.com,0,0,I,INACTIVE,MC-999999
8888888,PASSENGER ONLY BUS CO,,PASSENGER,N,Y,888 BUS LANE,BUSSTOWN,BB,11111,US,1115558888,bus@example.com,10,15,A,ACTIVE,MC-888888
